スフレ・プリン,なめらかなくちどけのカスタードプリンに、ふわしゅわ食感のチーズスフレをまるごとのせたインパクト抜群のデザートです。,https://www.family.co.jp/content/dam/family/goods/1940077.jpg
クリームたっぷり！なめらかカスタードシュー,香ばしさとくちどけのよいシューパフに、なめらかでコクのあるクリームがたっぷり入ったカスタードシューです。,https://www.family.co.jp/content/dam/family/goods/1943078.jpg
たっぷりクリームのダブルシュー,生クリームをブレンドしたホイップクリームとカスタードクリームのシュークリームです。,https://www.family.co.jp/content/dam/family/goods/1943030.jpg
バタービスケットサンド　チーズ,発酵バター入りビスケットで、バターと3種のチーズ（クリームチーズ、マスカルポーネ、カマンベール）をブレンドしたチーズクリームをサンドしました。,https://www.family.co.jp/content/dam/family/goods/1940251.jpg
イタリア栗のモンブラン,イタリア栗のペーストを使用したカップ仕立てのモンブランです。イタリア栗の味わいが楽しめる商品です。中にサクサク食感のメレンゲが入っています。,https://www.family.co.jp/content/dam/family/goods/1941654.jpg
カヌレ,牛乳・小麦粉・卵を使ったシンプルな味が特徴の「カヌレ」です。［ファミリーマート限定］,https://www.family.co.jp/content/dam/family/goods/1951462.jpg
ダブルクリームサンド（ホイップ&カスタード）,スポンジ生地にホイップクリームとカスタードクリームをサンドしました。,https://www.family.co.jp/content/dam/family/goods/1941661.jpg
生とろプリン,別海牛乳と生クリームのフレッシュでコクのある風味が楽しめるプリンです。［ファミリーマート限定］,https://www.family.co.jp/content/dam/family/goods/1910629.jpg
冷やして食べるしっとり食感のバウム,しっとりとした食感のバウムです。生地を1枚1枚丁寧に焼き上げ、しっとり食感をアップしました。,https://www.family.co.jp/content/dam/family/goods/1940060.jpg
白玉とわらび餅のクリームぜんざい,北海道生クリームをブレンドしたミルク感のあるホイップクリームと北海道産小豆使用の粒あんに、人気和素材の「わらび餅」と「白玉」を組み合わせたクリームぜんざいです。,https://www.family.co.jp/content/dam/family/goods/1947045.jpg
なめらか食感水ようかん,北海道産小豆を使用した風味豊かな水ようかんです。雪塩を入れ、すっきりした甘さが特徴です。［ファミリーマート限定］,https://www.family.co.jp/content/dam/family/goods/1930405.jpg
クリームわらび餅パフェ,とろける食感の黒みつわらび餅の上にミルクプリン・黒みつムースを重ね、ホイップクリームときな粉をまぶした角切りわらび餅を乗せたパフェです。,https://www.family.co.jp/content/dam/family/goods/1947038.jpg
白玉クリームぜんざい,北海道産小豆を使用した、粒残りのよいこだわり粒あんともちもち白玉と北海道産生クリームをブレンドした、ミルク感のあるホイップクリームを組み合わせたぜんざいです。,https://www.family.co.jp/content/dam/family/goods/1947076.jpg
ほうじ茶の生チョコ餅（4個入）,ほうじ茶パウダーを配合した生チョコをもちもち大福生地で包み、周りにもほうじ茶パウダーをまぶした、ほうじ茶づくしの生チョコ餅です。※静岡県の一部では取り扱いがございません。,https://www.family.co.jp/content/dam/family/goods/1947014.jpg
コーヒークリームたい焼き,もちもち食感のコーヒー生地に、コーヒーカスタードを詰めたたい焼きです。,https://www.family.co.jp/content/dam/family/goods/1947069.jpg
もっちり食感の抹茶まんじゅう,もちもちの生地で抹茶あんを包んだ抹茶まんじゅうです。,https://www.family.co.jp/content/dam/family/goods/1312027.jpg
クリームたい焼きカスタード,もちもちした生地のたい焼きに北海道産牛乳を使用したカスタードを入れたクリームたい焼きです。,https://www.family.co.jp/content/dam/family/goods/1941760.jpg
生クリーム入りしっとりカステラ,生クリームを生地に練り込んだしっとり食感のカステラです。,https://www.family.co.jp/content/dam/family/goods/1311136.jpg
つぶあんどら焼,よい粒感を感じられる北海道産小豆を使用した餡を、ふんわりとした生地 ではさみました。,https://www.family.co.jp/content/dam/family/goods/1311099.jpg
たっぷり小豆最中,北海道産小豆を使用した餡を最中生地にたっぷりはさんだ小豆最中です。,https://www.family.co.jp/content/dam/family/goods/1311143.jpg
ミニ羊羹　煉,北海道産小豆を使用した、片手で食べられる煉羊羹です。,https://www.family.co.jp/content/dam/family/goods/1311723.jpg
ひとくちこしあん大福,北海道産小豆のあん、北海道産てん菜の砂糖、国産もち粉を使用した、素材にこだわったひとくちサイズの大福です。,https://www.family.co.jp/content/dam/family/goods/1310320.jpg
塩豆大福,富良野産赤えんどうの煮豆を練り込んだ餅で宮古島の雪塩®を使用した餡を包んだ塩味のきいた豆大福です。,https://www.family.co.jp/content/dam/family/goods/1311129.jpg
