Uchi Café×森半　どらもっち　お抹茶＆クリーム,225,森半コラボ商品。抹茶のコク深さと黒糖入り生地の優しい味わいが相性抜群。この製品は原料にアルコールを含みます。※アルコール分1％未満。,https://www.lawson.co.jp/recommend/original/detail/img/l727604.png
どらもっち(あんこ＆ホイップ),192,歯切れのよいもちっとした生地にクリームと小豆の美味しさをとじこめました。この製品は原料にアルコールを含みます。※アルコール分1％未満。,https://www.lawson.co.jp/recommend/original/detail/img/l727584_1.png
もっちりとした白いたい焼き　カスタード,151,もちもち食感の生地に、濃厚でなめらかなカスタードクリームをとじこめました。,https://www.lawson.co.jp/recommend/original/detail/img/l643648.png
塩豆大福　北海道産小豆使用,160,新潟県産羽二重もち紛と国産うるち米粉をブレンドした、つきたてのようなキメ細やかでモチモチとした食感の楽しめる生地に、ゴロゴロとした赤えんどう豆をあわせています。北海道産小豆使用のこし餡を包み仕上げています。,https://www.lawson.co.jp/recommend/original/detail/img/l721796.png
とろけるわらび餅,160,口の中でとろ〜りとろける食感のわらび餅。,https://www.lawson.co.jp/recommend/original/detail/img/l729276.png
インジョルミ風くるみもち(シナモンソース)　3個入り,235,韓国スイーツの「インジョルミ(きなこ餅)」をイメージ。きな粉とシナモンの香りがふわっと広がり、ナッツの食感も楽しめるくるみもち。,https://www.lawson.co.jp/recommend/original/detail/img/l729889.png
フルーツ水ようかん(いちご),257,瑞々しいいちごの水ようかんと、甘酸っぱいいちごソースが絶妙！,https://www.lawson.co.jp/recommend/original/detail/img/l729929.png
はちみつ香るしっとりカステラ　1切入,148,たまごの配合を増やす事により、ふんわり感とたまごのコクをアップさせました。じっくりと時間をかけた蒸し焼き製法を行う事で、しっとりとした食感に仕上げました。,https://www.lawson.co.jp/recommend/original/detail/img/l645688.png
こだわり素材のバウムクーヘン　1個入,192,北海道産の小麦粉、バター、生クリームを使用したしっとりしたバウムクーヘンです。,https://www.lawson.co.jp/recommend/original/detail/img/l694099.png
さくふわ食感のベルギーワッフル　1個入,148,焦がしバターの深いコクと香ばしさをとじこめて焼き上げたワッフルです。ベルギー産パールシュガーのシャリッと感がアクセントです。,https://www.lawson.co.jp/recommend/original/detail/img/l660437.png
レーズンサブレ　1個入,130,ラム酒に漬け込んだレーズンを使用し、バターの香ばしさとラム酒の風味が楽しめるレーズンサブレです。さっぱりとしたクリームに仕上げました。,https://www.lawson.co.jp/recommend/original/detail/img/n506223.png
ごろごろチョコチップスコーン　1個,188,外ザックリ、中しっとりのごろごろとしたチョコチップスコーンです。,https://www.lawson.co.jp/recommend/original/detail/img/l677753.png
